Timestamp,CO2Value,QUANTUM,Temperature,Relative Humidity,Dew Point,Soil Temperature,Volumetric Water Content,Electrical Conductivity
2024-02-14 23:36:32,614,8.667,26.59,45.76,13.95,26.09,0.0,0
2024-02-14 23:37:04,615,8.6994,26.6,46.02,14.05,26.12,0.0,0
2024-02-14 23:37:37,616,8.7565,26.6,46.09,14.08,26.12,0.0,0
2024-02-15 13:34:36,450,300.7714,37.03,32.87,18.04,32.54,0.0,0
2024-02-15 13:35:09,451,306.3114,37.11,32.82,18.08,32.78,0.0,0
2024-02-15 13:35:41,450,277.3642,37.18,32.82,18.15,32.9,0.0,0
2024-02-15 13:36:13,451,302.8377,37.24,32.85,18.21,32.99,0.0,0
2024-02-15 13:36:46,452,296.6754,37.3,32.61,18.14,33.21,0.0,0
2024-02-15 13:37:18,453,299.8745,37.39,32.53,18.18,33.47,0.0,0
2024-02-15 13:42:00,465,296.7664,38.01,32.33,18.62,35.03,0.0,0
2024-02-15 13:42:33,464,302.2808,38.09,32.28,18.67,34.91,0.0,0
2024-02-15 13:43:05,462,307.3814,38.19,31.91,18.57,34.96,0.0,0
2024-02-15 13:43:37,461,307.6586,38.29,31.68,18.54,34.91,0.0,0
2024-02-15 13:44:10,453,306.3588,38.39,31.55,18.56,35.01,0.0,0
2024-02-15 13:44:42,451,309.5762,38.44,31.27,18.46,34.53,0.0,0
2024-02-15 13:45:15,452,306.7162,38.5,31.1,18.43,33.91,0.0,0
2024-02-15 13:45:47,451,304.0757,38.54,30.98,18.4,33.52,0.0,0
2024-02-15 13:46:19,452,294.9905,38.59,30.98,18.44,33.69,0.0,0
2024-02-15 13:46:52,452,286.6269,38.63,30.99,18.48,34.41,0.0,0
2024-02-15 13:47:24,453,291.6673,38.67,30.96,18.5,34.14,0.0,0
2024-02-15 13:47:56,453,289.6476,38.73,30.92,18.53,34.43,0.0,0
2024-02-15 13:48:29,453,269.3123,38.77,30.84,18.52,34.72,0.0,0
2024-02-15 13:49:01,454,251.0474,38.78,31.16,18.7,35.03,0.0,0
2024-02-15 13:49:33,459,291.3405,38.82,31.13,18.72,35.44,0.0,0
2024-02-15 13:50:06,474,300.9098,38.87,31.25,18.82,35.97,0.0,0
2024-02-15 13:50:38,480,164.5829,38.91,31.09,18.77,36.08,0.0,0
2024-02-15 13:51:11,477,259.6141,38.98,31.15,18.87,35.99,0.0,0
2024-02-15 13:51:43,1266,278.9324,39.02,35.32,20.92,35.53,0.0,0
2024-02-15 13:52:15,1270,233.5033,39.05,33.05,19.87,35.58,0.0,0
2024-02-15 13:52:48,790,275.6243,39.1,32.04,19.42,35.17,0.0,0
2024-02-15 13:53:20,599,278.432,39.18,31.71,19.32,34.55,0.0,0
2024-02-15 13:53:52,562,269.5084,38.43,33.01,19.31,34.24,0.0,0
2024-02-15 13:54:25,840,133.0338,38.39,37.09,21.17,34.43,0.0,0
2024-02-15 13:54:57,830,278.029,38.04,32.84,18.9,34.94,0.0,0
2024-02-15 13:55:29,1551,259.5276,37.93,34.55,19.62,35.2,0.0,0
2024-02-15 13:56:02,499,236.9803,37.77,35.19,19.78,35.01,0.0,0
2024-02-15 13:56:34,471,144.2131,37.73,34.15,19.26,34.43,0.0,0
2024-02-15 13:57:07,457,171.9674,37.68,38.13,20.99,33.69,0.0,0
2024-02-15 13:57:39,456,161.5701,37.66,39.7,21.64,33.67,0.0,0
2024-02-15 13:58:11,455,227.5652,37.66,40.39,21.92,33.83,0.0,0
2024-02-15 13:58:44,450,233.2952,37.66,40.69,22.04,33.95,0.0,0
2024-02-15 13:59:16,450,220.6931,37.65,40.82,22.08,34.14,0.0,0
2024-02-15 13:59:48,449,217.3643,37.66,40.88,22.12,34.36,0.0,0
2024-02-15 14:00:21,450,224.7634,37.7,40.79,22.11,34.36,0.0,0
2024-02-15 14:00:53,449,219.8482,37.75,41.64,22.5,34.24,0.0,0
2024-02-15 14:01:26,450,227.6953,37.8,44.26,23.55,33.57,0.0,0
2024-02-15 14:01:58,449,235.2894,37.89,47.41,24.77,33.91,0.0,0
2024-02-15 14:04:14,447,233.8788,38.32,48.43,25.52,37.28,17.06,83
2024-02-15 14:04:46,448,185.9,38.42,48.1,25.5,37.4,17.06,83
2024-02-15 14:05:19,449,199.4599,38.49,48.82,25.81,37.4,17.06,83
2024-02-15 14:05:51,451,186.0637,38.51,44.18,24.16,37.4,17.06,83
2024-02-15 14:06:24,451,185.9344,38.52,41.84,23.27,37.4,17.06,83
2024-02-15 14:06:56,452,185.9272,38.53,40.86,22.88,37.4,17.06,83
2024-02-15 14:07:28,453,185.1297,38.53,40.53,22.75,37.4,17.06,83
2024-02-15 14:08:01,454,185.8923,38.54,40.3,22.66,37.35,17.0,83
2024-02-15 14:08:33,454,183.8961,38.55,40.23,22.65,37.33,17.0,82
2024-02-15 14:09:05,453,183.8592,38.58,40.13,22.62,37.31,17.0,82
2024-02-15 14:09:38,452,182.4037,38.59,40.04,22.59,37.31,17.0,82
2024-02-15 14:10:10,452,186.7532,38.6,40.04,22.6,37.26,17.0,82
2024-02-15 14:10:42,452,186.654,38.63,40.05,22.64,37.23,17.0,82
2024-02-15 14:11:15,454,189.3589,38.64,40.05,22.65,37.21,17.0,82
2024-02-15 14:11:47,454,192.4,38.67,40.15,22.72,37.21,17.0,82
2024-02-15 14:12:20,456,197.9242,38.69,40.25,22.78,37.16,17.0,82
2024-02-15 14:12:52,457,204.557,38.73,40.12,22.75,37.11,16.96,82
2024-02-15 14:13:24,456,189.7206,38.75,40.02,22.73,37.11,16.96,82
2024-02-15 14:13:57,457,207.5412,38.76,40.05,22.75,37.09,16.96,82
2024-02-15 14:14:29,456,203.6574,38.79,39.94,22.74,37.04,16.89,82
2024-02-15 14:15:01,455,207.4361,38.83,39.98,22.78,37.02,16.89,82
2024-02-15 14:15:34,452,214.564,38.88,39.91,22.8,37.02,16.89,82
2024-02-15 14:16:06,451,222.8774,38.93,39.85,22.82,36.99,16.89,82
2024-02-15 14:16:39,449,227.098,38.98,39.73,22.82,36.95,16.89,82
2024-02-15 14:17:11,450,233.5028,39.04,39.73,22.87,36.92,16.89,82
2024-02-15 14:17:43,449,233.2895,39.08,39.7,22.89,36.92,16.89,82
2024-02-15 14:18:16,449,216.6172,39.13,39.62,22.91,36.9,16.89,82
2024-02-15 14:18:48,448,217.473,39.17,39.46,22.87,36.85,16.89,81
2024-02-15 14:19:20,448,215.5615,39.21,39.33,22.85,36.85,16.89,81
